GCVS,STAR,CONST.,RA(2000),DEC,Type,V [mag],P [days],Spec
 10012,RT    ,And,23h 11m 10.1s, 53o  1' 33",EA/R, 8.97,   0.6289216  ,F8V+K1        
 10025,SY    ,And, 0h 13m 16.4s, 43o 42' 41",EA  ,10.7 ,  34.90847    ,A0+K1         
 10027,TT    ,And,23h 13m 22.9s, 46o  8' 51",EA  ,11.5 ,   2.765101   ,A             
 10030,TW    ,And, 0h  3m 18.2s, 32o 50' 45",EA  , 8.98,   4.122834   ,F0V+K0        
 10034,UU    ,And, 0h 43m 45.1s, 30o 56' 19",EA  ,11.2 ,   1.486293   ,A8IV/V        
 10045,WW    ,And,23h 44m 53.5s, 45o 41' 11",EA  ,10.92,  23.285213   ,A5+F3p        
 10046,WX    ,And, 0h 45m 37.3s, 28o 45'  0",EA  ,12.1 ,   3.001134   ,F5IV          
 10048,WZ    ,And, 1h  1m 43.6s, 38o  5' 47",EB  ,11.16,   0.6956638  ,F5            
 10051,XZ    ,And, 1h 56m 51.5s, 42o  6'  2",EA  , 9.91,   1.3573091  ,A1V           
 10055,AA    ,And,23h  5m 22.8s, 47o 40' 34",EB  ,10.3 ,   0.9350969  ,B8V           
 10056,AB    ,And,23h 11m 32.1s, 36o 53' 35",EW  , 9.49,   0.3318912  ,G5+G5V        
 10058,AD    ,And,23h 36m 45.0s, 48o 40' 15",EB  ,11.2 ,   0.986202   ,A0V           
 10066,AM    ,And, 0h  5m  7.5s, 48o 27'  5",EA  ,12.5 ,   8.850510   ,              
 10067,AN    ,And,23h 18m 23.3s, 41o 46' 25",EB  , 5.96,   3.21952    ,A7mIII-IV     
 10069,AP    ,And,23h 49m 30.7s, 45o 47' 21",EA  ,11.3 ,   1.5872910  ,F5            
 10072,AS    ,And,23h 39m  1.8s, 47o 14' 48",EA  ,13.8 ,              ,              
 10082,BD    ,And,23h  7m  5.2s, 50o 57' 30",EB  ,11.3 ,   0.4629057  ,F8            
 10089,BL    ,And,23h 11m 24.3s, 51o 52' 31",EB  ,11.15,   0.72237587 ,A0            
 10092,BO    ,And,22h 58m 38.2s, 45o 31' 51",EA  ,13.4 ,   5.797370   ,B8            
 10096,BS    ,And,23h 12m 47.0s, 51o 52' 25",EA  ,15.3 ,   3.1461666  ,              
