GCVS,STAR,CONST.,RA(2000),DEC,Type,V[mag],P[days],Spec
10012,RT,And,23h11m10.1s,53o1'33",EA/R,8.97,0.6289216,F8V+K1
10025,SY,And,0h13m16.4s,43o42'41",EA,10.7,34.90847,A0+K1
10027,TT,And,23h13m22.9s,46o8'51",EA,11.5,2.765101,A
10030,TW,And,0h3m18.2s,32o50'45",EA,8.98,4.122834,F0V+K0
10034,UU,And,0h43m45.1s,30o56'19",EA,11.2,1.486293,A8IV/V
10045,WW,And,23h44m53.5s,45o41'11",EA,10.92,23.285213,A5+F3p
10046,WX,And,0h45m37.3s,28o45'0",EA,12.1,3.001134,F5IV
10048,WZ,And,1h1m43.6s,38o5'47",EB,11.16,0.6956638,F5
10051,XZ,And,1h56m51.5s,42o6'2",EA,9.91,1.3573091,A1V
10055,AA,And,23h5m22.8s,47o40'34",EB,10.3,0.9350969,B8V
10056,AB,And,23h11m32.1s,36o53'35",EW,9.49,0.3318912,G5+G5V
10058,AD,And,23h36m45.0s,48o40'15",EB,11.2,0.986202,A0V
10066,AM,And,0h5m7.5s,48o27'5",EA,12.5,8.850510,
10067,AN,And,23h18m23.3s,41o46'25",EB,5.96,3.21952,A7mIII-IV
10069,AP,And,23h49m30.7s,45o47'21",EA,11.3,1.5872910,F5
10072,AS,And,23h39m1.8s,47o14'48",EA,13.8,,
10082,BD,And,23h7m5.2s,50o57'30",EB,11.3,0.4629057,F8
10089,BL,And,23h11m24.3s,51o52'31",EB,11.15,0.72237587,A0
10092,BO,And,22h58m38.2s,45o31'51",EA,13.4,5.797370,B8
10096,BS,And,23h12m47.0s,51o52'25",EA,15.3,3.1461666,
10101,BX,And,2h9m3.4s,40o47'39",EB,8.87,0.6101119,F2V
10105,CD,And,1h26m28.4s,44o21'25",EA,9.9,68.8832,F8
10114,CN,And,0h20m30.5s,40o13'33",EB,9.62,0.46279092,F5V
10115,CO,And,1h11m24.8s,46o57'49",EA,11.1,1.8276678,F8
10116,CP,And,2h12m51.2s,45o37'51",EA,11.4,3.608986,A5
10121,CU,And,23h1m1.6s,49o58'25",EA,12.5,1.71601,
10126,CZ,And,23h9m0.9s,49o36'51",EA,12.4,2.717200,A6
10133,DK,And,23h28m45.9s,50o34'29",EW,12.5,0.4892224,
